IND	POP
ANT_DG46	Antipodean
ANT_DG47	Antipodean
ANT_DG48	Antipodean
ANT_DG49	Antipodean
ANT_DG50	Antipodean
ANT_MW16	Antipodean
ANT_MW17	Antipodean
ANT_MW18	Antipodean
ANT_MW19	Antipodean
ANT_MW21	Antipodean
ANT_MW22	Antipodean
ANT_MW24	Antipodean
ANT_NP28	Antipodean
ANT_NP30	Antipodean
ANT_NP31	Antipodean
ANT_NP32	Antipodean
ANT_NP33	Antipodean
ANT_NP34	Antipodean
ANT_NP35	Antipodean
ANT_NP36	Antipodean
ANT_NP39	Antipodean
ANT_NP40	Antipodean
ANT_NP41	Antipodean
ANT_NP42	Antipodean	
ANT_NP43	Antipodean
ANT_NP44	Antipodean
ANT_OR01	Antipodean
ANT_OR02	Antipodean
ANT_OR03	Antipodean
ANT_OR04	Antipodean
ANT_OR05	Antipodean
ANT_OR06	Antipodean
ANT_OR07	Antipodean
ANT_OR08	Antipodean
ANT_OR10	Antipodean
ANT_OR11	Antipodean
ANT_OR13	Antipodean
ANT_OR14	Antipodean
ANT_OR15	Antipodean
ANT_SA51	Antipodean
ANT_SA52	Antipodean
ANT_SA53	Antipodean
ANT_SA54	Antipodean
